City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
115,rio gallegos,32,AR,1525298864,84,-51.62,-69.22,45.57,3.27
116,saint-francois,0,FR,1525299153,60,46.42,3.91,46.29,6.85
117,longyearbyen,56,NO,1525299154,100,78.22,15.63,23.61,1.92
118,new norfolk,8,AU,1525299154,90,-42.78,147.06,46.47,5.39
119,samarai,44,PG,1525299154,100,-10.62,150.67,81.12,10.65
120,tautira,76,PF,1525299155,100,-17.73,-149.15,80.22,8.63
121,tuktoyaktuk,0,CA,1525299155,100,69.44,-133.03,12.81,7.18
122,hobart,0,AU,1525299156,87,-42.88,147.33,51.51,5.17
123,upernavik,0,GL,1525299156,100,72.79,-56.15,12.54,12.55
124,cameta,12,US,1525299156,56,33.01,-90.84,87.78,13.0
125,talas,20,TR,1525299157,82,38.69,35.55,47.01,2.59
126,dwarka,0,IN,1525299157,73,28.58,77.04,73.47,11.21
127,noyabrsk,0,RU,1525299157,76,63.2,75.45,5.16,7.63
128,geraldton,48,CA,1525299158,76,49.72,-86.95,40.35,3.38
129,coquimbo,0,CL,1525299158,92,-29.95,-71.34,60.24,7.4
130,nioro,0,GM,1525299158,35,13.79,-15.05,87.51,5.73
131,carnarvon,12,ZA,1525299159,51,-30.97,22.13,48.45,10.76
132,tsaratanana,0,MG,1525299159,62,-16.8,47.65,71.22,12.44
133,kawhia,0,NZ,1525299160,100,-38.07,174.82,57.27,4.72
134,rundu,0,NA,1525299160,37,-17.91,19.77,62.04,8.3
135,muros,92,ES,1525299160,100,42.77,-9.06,54.21,1.92
136,panjab,56,AF,1525299161,97,34.38,67.02,28.47,2.59
137,chuy,92,UY,1525299162,81,-33.69,-53.46,69.15,15.46
138,georgetown,92,GY,1525299080,88,6.8,-58.16,79.05,7.18
139,hailun,0,CN,1525299162,51,47.46,126.97,36.21,10.2
140,maningrida,0,AU,1525299163,89,-12.05,134.23,77.25,11.65
141,vestmannaeyjar,20,IS,1525299163,91,63.44,-20.27,38.82,9.42
142,hamilton,0,BM,1525299146,100,32.3,-64.78,69.69,7.74
143,laukaa,80,FI,1525299164,90,62.42,25.95,43.59,6.62
144,deputatskiy,48,RU,1525299164,95,69.3,139.9,32.34,13.44
145,faanui,44,PF,1525299165,100,-16.48,-151.75,82.2,14.23
146,dicabisagan,56,PH,1525299165,100,17.08,122.42,74.37,2.48
147,ballina,92,IE,1525299165,83,54.11,-9.15,46.74,12.21
148,nishihara,92,JP,1525299166,94,35.74,139.53,68.97,19.93
149,santiago de cao,24,PE,1525299166,86,-7.96,-79.24,74.01,5.95
150,kruisfontein,100,ZA,1525299166,94,-34.0,24.73,65.37,25.52
151,matinha,92,BR,1525299167,100,-3.1,-45.04,73.38,3.15
152,nhlangano,0,SZ,1525299167,94,-27.11,31.2,50.97,2.48
153,bria,76,CF,1525299168,73,6.54,21.99,79.14,0.36
154,anadyr,24,RU,1525299168,99,64.73,177.51,21.45,2.71
155,thinadhoo,92,MV,1525299168,96,0.53,72.93,85.98,15.23
156,bluff,0,AU,1525299169,93,-23.58,149.07,60.15,4.5
157,antalya,0,TR,1525299169,74,36.9,30.69,54.21,2.37
158,arteaga,64,MX,1525299169,20,25.45,-100.85,81.66,5.73
159,kaitangata,64,NZ,1525299170,76,-46.28,169.85,45.21,5.61
160,dzhebariki-khaya,68,RU,1525299170,68,62.22,135.8,38.73,9.08
161,grootfontein,0,NA,1525299170,59,-19.56,18.1,53.49,5.61
162,tasiilaq,88,GL,1525299171,95,65.61,-37.64,28.02,26.87
163,mandiana,8,GN,1525299171,33,10.62,-8.7,82.02,4.94
164,khatanga,56,RU,1525299172,82,71.98,102.47,7.86,8.63
165,albury,0,AU,1525299172,77,-36.08,146.92,56.37,9.75
166,jamestown,88,AU,1525299173,92,-33.21,138.6,56.01,4.72
167,nchelenge,80,ZM,1525299173,82,-9.35,28.74,70.23,3.6
168,luderitz,8,NA,1525299173,84,-26.65,15.16,58.53,12.44
169,talaya,44,RU,1525299174,83,55.79,84.89,29.91,5.95
170,lillesand,76,NO,1525299174,86,58.25,8.38,46.29,11.43
171,port hedland,0,AU,1525299175,74,-20.31,118.58,67.17,5.06
172,mahebourg,56,MU,1525299175,77,-20.41,57.7,75.54,12.77
173,hobyo,64,SO,1525299175,99,5.35,48.53,77.07,9.31
174,kitgum,12,UG,1525299176,90,3.3,32.88,62.94,2.59
175,vao,8,EE,1525299176,81,59.1,26.19,44.22,7.07
176,nikolskoye,0,RU,1525299177,90,59.7,30.79,43.05,9.42
177,bhabua,0,IN,1525299177,68,25.04,83.61,77.07,10.2
178,saldanha,8,PT,1525299177,70,41.42,-6.55,51.51,7.07
179,aykhal,88,RU,1525299178,86,65.95,111.51,23.07,8.41
180,santander,64,PH,1525299178,100,9.42,123.33,78.24,5.06
181,panjakent,24,UZ,1525299178,98,39.5,67.61,42.33,2.59
182,ponta delgada,0,PT,1525299179,100,37.73,-25.67,61.05,13.67
183,golden,36,CA,1525299179,66,51.3,-116.96,44.49,2.04
184,portland,0,US,1525299063,67,45.52,-122.67,65.1,3.15
185,klaksvik,64,FO,1525299180,100,62.23,-6.59,42.69,15.9
186,puerto escondido,12,MX,1525299180,100,15.86,-97.07,85.44,7.4
187,yuli,20,NG,1525299180,86,10.52,9.86,74.19,7.63
188,cap malheureux,20,MU,1525299181,100,-19.98,57.61,78.15,20.04
189,arraial do cabo,88,BR,1525299181,91,-22.97,-42.02,75.54,10.87
190,porto velho,0,BR,1525299181,82,-8.75,-63.87,84.18,1.81
191,qaanaaq,0,GL,1525299182,83,77.48,-69.36,4.71,1.92
192,kununurra,8,AU,1525299182,89,-15.77,128.74,67.62,2.71
193,bushenyi,0,UG,1525299182,90,-0.54,30.19,61.86,3.94
194,santa isabel,24,CO,1525299183,77,4.71,-75.1,73.92,4.38
195,inhambane,0,MZ,1525299184,100,-23.87,35.38,67.89,3.94
196,magalia,0,US,1525299111,45,39.81,-121.58,75.99,6.06
197,baillif,48,GP,1525299184,96,16.02,-61.75,79.41,12.21
198,ambrolauri,0,GE,1525299185,87,42.52,43.15,40.44,1.92
199,havoysund,0,NO,1525299185,93,71.0,24.66,35.85,10.54
200,inverness,12,GB,1525299186,86,57.48,-4.23,41.52,13.44
201,cedeno,64,CO,1525299186,96,7.05,-72.16,72.57,0.69
